,user_id,content_id,watch_duration_minutes,device_used,watch_time,rating_given,age,country,preferred_genre,content_type,genre,duration_minutes
135,107,1417,139.0,Laptop,2024-06-02 08:42:52.420943,1.0,18,India,Comedy,TV Show,Documentary,41
136,393,771,127.0,Mobile,2024-05-12 08:42:52.419713,,49,Germany,Romance,TV Show,Romance,110
137,385,771,48.0,Mobile,2024-05-28 08:42:52.382192,3.0,46,Australia,Drama,TV Show,Romance,110
138,205,771,163.0,Tablet,2024-05-05 08:42:52.417407,5.0,54,Germany,Documentary,TV Show,Romance,110
139,419,771,14.0,Mobile,2025-01-16 08:42:52.419830,4.0,60,Canada,Drama,TV Show,Romance,110
140,69,771,174.0,Tablet,2025-03-09 08:42:52.388003,5.0,21,Germany,Comedy,TV Show,Romance,110
141,105,913,127.0,Mobile,2024-12-02 08:42:52.381446,1.0,26,Canada,Comedy,TV Show,Documentary,128
142,299,913,72.0,Tablet,2024-07-23 08:42:52.388196,5.0,22,USA,Action,TV Show,Documentary,128
143,340,913,91.0,Mobile,2024-09-12 08:42:52.383874,2.0,65,Germany,Documentary,TV Show,Documentary,128
144,480,913,81.0,Laptop,2025-03-17 08:42:52.388969,4.0,47,India,Horror,TV Show,Documentary,128
145,486,913,177.0,Laptop,2024-10-07 08:42:52.385331,3.0,54,Germany,Documentary,TV Show,Documentary,128
146,105,693,129.0,Tablet,2025-01-23 08:42:52.381717,2.0,26,Canada,Comedy,TV Show,Action,36
147,105,272,99.0,Laptop,2024-11-24 08:42:52.381754,5.0,26,Canada,Comedy,Movie,Comedy,150
148,109,272,149.0,TV,2024-12-10 08:42:52.420435,5.0,25,Australia,Drama,Movie,Comedy,150
149,401,272,171.0,Laptop,2024-10-29 08:42:52.389080,3.0,20,Germany,Comedy,Movie,Comedy,150
150,300,272,144.0,TV,2024-05-29 08:42:52.384464,3.0,54,Australia,Documentary,Movie,Comedy,150
151,105,25,53.0,TV,2025-02-11 08:42:52.381982,1.0,26,Canada,Comedy,TV Show,Action,110
152,53,25,175.0,Tablet,2025-01-30 08:42:52.382393,5.0,26,Canada,Horror,TV Show,Action,110
153,105,1812,56.0,Laptop,2024-06-14 08:42:52.382743,,26,Canada,Comedy,Movie,Documentary,108
154,310,1812,66.0,Laptop,2024-06-28 08:42:52.415200,5.0,41,Canada,Comedy,Movie,Documentary,108
155,103,1812,32.0,Mobile,2024-11-10 08:42:52.415524,2.0,42,Canada,Comedy,Movie,Documentary,108
156,86,1812,126.0,TV,2025-03-27 08:42:52.422539,4.0,31,USA,Comedy,Movie,Documentary,108
157,105,495,163.0,TV,2024-10-24 08:42:52.383810,5.0,26,Canada,Comedy,Movie,Horror,148
158,10,495,100.0,Laptop,2024-09-05 08:42:52.421421,3.0,40,Australia,Comedy,Movie,Horror,148
159,341,495,11.0,Laptop,2024-10-16 08:42:52.385948,2.0,37,Germany,Action,Movie,Horror,148
160,105,1788,96.0,TV,2024-12-26 08:42:52.383959,4.0,26,Canada,Comedy,TV Show,Comedy,53
161,182,1788,178.0,Mobile,2024-10-01 08:42:52.389803,,23,Australia,Sci-Fi,TV Show,Comedy,53
162,244,1788,125.0,Laptop,2024-12-05 08:42:52.417857,3.0,21,India,Action,TV Show,Comedy,53
163,105,2270,9.0,TV,2024-10-23 08:42:52.384354,4.0,26,Canada,Comedy,TV Show,Comedy,150
164,266,2270,160.0,Tablet,2024-12-19 08:42:52.386490,,43,UK,Horror,TV Show,Comedy,150
165,90,2270,50.0,Tablet,2024-11-14 08:42:52.419272,1.0,33,India,Sci-Fi,TV Show,Comedy,150
166,105,2094,5.0,Mobile,2024-08-13 08:42:52.389091,4.0,26,Canada,Comedy,Movie,Documentary,129
167,446,2094,91.0,Laptop,2024-08-22 08:42:52.415740,1.0,49,Germany,Romance,Movie,Documentary,129
168,143,2094,93.0,Mobile,2025-03-10 08:42:52.418887,1.0,31,UK,Sci-Fi,Movie,Documentary,129
169,63,2094,85.0,TV,2024-10-20 08:42:52.386111,4.0,52,USA,Action,Movie,Documentary,129
170,105,1074,147.0,Tablet,2024-07-30 08:42:52.389806,5.0,26,Canada,Comedy,TV Show,Romance,116
171,134,1074,13.0,Tablet,2024-06-10 08:42:52.381488,2.0,61,USA,Action,TV Show,Romance,116
172,131,1074,99.0,Laptop,2024-04-27 08:42:52.414507,5.0,41,USA,Drama,TV Show,Romance,116
173,105,2759,42.0,Mobile,2024-06-03 08:42:52.414816,2.0,26,Canada,Comedy,Movie,Horror,104
174,34,2759,104.0,Mobile,2025-03-24 08:42:52.421487,1.0,45,Germany,Documentary,Movie,Horror,104
175,105,2973,85.0,Laptop,2025-02-12 08:42:52.415231,5.0,26,Canada,Comedy,TV Show,Horror,58
176,381,2973,152.0,TV,2025-03-23 08:42:52.389484,2.0,52,Canada,Comedy,TV Show,Horror,58
177,34,2973,67.0,Mobile,2025-01-13 08:42:52.420800,3.0,45,Germany,Documentary,TV Show,Horror,58
178,477,2973,100.0,Laptop,2024-07-13 08:42:52.386618,,30,Canada,Horror,TV Show,Horror,58
179,365,2973,45.0,Tablet,2024-06-22 08:42:52.416725,2.0,45,USA,Action,TV Show,Horror,58
180,105,2727,52.0,Tablet,2024-12-30 08:42:52.417498,2.0,26,Canada,Comedy,Movie,Romance,169
181,88,2727,150.0,TV,2025-02-10 08:42:52.419946,4.0,57,India,Sci-Fi,Movie,Romance,169
182,92,2727,133.0,Mobile,2025-02-03 08:42:52.383342,4.0,35,Canada,Documentary,Movie,Romance,169
183,105,1810,46.0,Mobile,2024-04-17 08:42:52.418323,4.0,26,Canada,Comedy,Movie,Horror,55
184,493,1810,29.0,Tablet,2024-12-24 08:42:52.418263,5.0,64,Australia,Comedy,Movie,Horror,55
185,386,1810,173.0,Tablet,2024-09-14 08:42:52.416478,4.0,66,USA,Comedy,Movie,Horror,55
186,105,848,154.0,Mobile,2024-05-02 08:42:52.418527,5.0,26,Canada,Comedy,TV Show,Horror,118
187,105,2703,500.0,Mobile,2024-05-26 08:42:52.418531,1.0,26,Canada,Comedy,TV Show,Romance,137
188,421,2703,28.0,,2025-01-25 08:42:52.422324,1.0,56,Germany,Romance,TV Show,Romance,137
189,105,2193,7.0,Mobile,2024-07-30 08:42:52.418672,4.0,26,Canada,Comedy,Movie,Drama,68
190,277,2193,21.0,Laptop,2024-12-23 08:42:52.418008,2.0,35,USA,Sci-Fi,Movie,Drama,68
191,105,216,10.0,Laptop,2024-09-27 08:42:52.418685,1.0,26,Canada,Comedy,Movie,Romance,171
192,150,1152,26.0,TV,2024-04-27 08:42:52.381450,3.0,44,USA,Action,TV Show,Horror,34
193,166,1152,61.0,Mobile,2024-05-15 08:42:52.419088,5.0,40,India,Drama,TV Show,Horror,34
194,131,1152,20.0,Tablet,2024-12-06 08:42:52.389890,5.0,41,USA,Drama,TV Show,Horror,34
195,150,2427,83.0,Tablet,2025-01-23 08:42:52.383454,5.0,44,USA,Action,TV Show,Sci-Fi,168
196,287,2427,58.0,Mobile,2024-08-02 08:42:52.421081,2.0,59,Australia,Romance,TV Show,Sci-Fi,168
197,88,2427,40.0,Laptop,2024-10-19 08:42:52.417608,,57,India,Sci-Fi,TV Show,Sci-Fi,168
198,150,2250,82.0,TV,2025-04-01 08:42:52.383535,4.0,44,USA,Action,TV Show,Horror,41
199,150,926,133.0,Tablet,2024-10-16 08:42:52.386101,4.0,44,USA,Action,TV Show,Drama,78
200,141,926,75.0,Laptop,2025-02-13 08:42:52.387159,4.0,54,Germany,Drama,TV Show,Drama,78
201,150,761,166.0,Mobile,2024-07-02 08:42:52.387701,3.0,44,USA,Action,TV Show,Horror,108
202,379,761,144.0,Tablet,2025-03-01 08:42:52.415794,3.0,63,Australia,Action,TV Show,Horror,108
203,150,893,22.0,TV,2025-02-02 08:42:52.415336,2.0,44,USA,Action,Movie,Comedy,136
204,423,893,72.0,TV,2024-05-15 08:42:52.417052,,59,Germany,Action,Movie,Comedy,136
205,150,95,145.0,Mobile,2024-10-04 08:42:52.416531,4.0,44,USA,Action,Movie,Drama,104
206,73,95,8.0,Laptop,2024-04-09 08:42:52.422357,5.0,21,Germany,Romance,Movie,Drama,104
207,437,95,65.0,TV,2024-06-11 08:42:52.420950,4.0,33,Germany,Sci-Fi,Movie,Drama,104
208,150,2898,69.0,Mobile,2025-01-01 08:42:52.419691,4.0,44,USA,Action,Movie,Drama,62
209,335,2898,57.0,Tablet,2024-12-28 08:42:52.415983,1.0,50,Australia,Sci-Fi,Movie,Drama,62
210,150,2775,67.0,Laptop,2024-06-13 08:42:52.420981,5.0,44,USA,Action,Movie,Romance,110
211,84,2775,133.0,TV,2024-04-24 08:42:52.383276,2.0,32,India,Documentary,Movie,Romance,110
212,353,2775,134.0,Tablet,2024-11-11 08:42:52.419249,2.0,47,Canada,Horror,Movie,Romance,110
213,150,865,171.0,Mobile,2024-11-01 08:42:52.421412,2.0,44,USA,Action,Movie,Drama,166
214,398,865,27.0,Laptop,2025-04-01 08:42:52.416718,3.0,42,USA,Comedy,Movie,Drama,166
215,150,1147,34.0,Tablet,2024-09-06 08:42:52.421839,3.0,44,USA,Action,Movie,Horror,82
216,146,723,,Mobile,2024-12-20 08:42:52.381456,3.0,22,Canada,Action,TV Show,Drama,127
217,130,723,113.0,Laptop,2025-02-02 08:42:52.382185,,40,Germany,Action,TV Show,Drama,127
218,428,723,79.0,Tablet,2024-06-16 08:42:52.422626,2.0,41,Germany,Action,TV Show,Drama,127
219,151,723,40.0,Laptop,2024-06-08 08:42:52.421871,2.0,26,Germany,Action,TV Show,Drama,127
220,146,791,72.0,Mobile,2024-12-08 08:42:52.384959,5.0,22,Canada,Action,Movie,Action,126
221,146,2912,46.0,Mobile,2024-10-15 08:42:52.387647,,22,Canada,Action,Movie,Drama,92
222,377,2912,33.0,Laptop,2024-09-19 08:42:52.415264,3.0,47,India,Drama,Movie,Drama,92
223,146,2966,20.0,Tablet,2025-02-21 08:42:52.389151,,22,Canada,Action,Movie,Romance,104
224,146,2165,82.0,TV,2025-02-19 08:42:52.389288,2.0,22,Canada,Action,Movie,Drama,159
225,19,2165,34.0,Laptop,2024-11-06 08:42:52.389760,5.0,19,Australia,Horror,Movie,Drama,159
226,240,2165,47.0,Laptop,2025-01-20 08:42:52.420029,5.0,43,Canada,Action,Movie,Drama,159
227,57,2165,6.0,Laptop,2024-11-28 08:42:52.383596,4.0,45,Germany,Documentary,Movie,Drama,159
228,146,1246,51.0,TV,2024-12-28 08:42:52.389427,5.0,22,Canada,Action,Movie,Comedy,38
229,473,1246,79.0,Tablet,2024-10-30 08:42:52.385975,1.0,52,Canada,Comedy,Movie,Comedy,38
230,146,1144,76.0,Tablet,2024-08-09 08:42:52.416583,2.0,22,Canada,Action,TV Show,Romance,169
231,464,1144,64.0,Tablet,2024-04-26 08:42:52.386168,4.0,22,Australia,Documentary,TV Show,Romance,169
232,326,1144,13.0,Laptop,2025-01-07 08:42:52.382548,4.0,46,Germany,Action,TV Show,Romance,169
233,244,1144,144.0,Mobile,2024-05-02 08:42:52.389645,,21,India,Action,TV Show,Romance,169
234,486,1144,118.0,Laptop,2024-05-14 08:42:52.414623,3.0,54,Germany,Documentary,TV Show,Romance,169
235,478,1144,13.0,Laptop,2024-10-20 08:42:52.420180,2.0,67,UK,Comedy,TV Show,Romance,169
236,146,1853,148.0,Tablet,2024-11-02 08:42:52.418783,1.0,22,Canada,Action,TV Show,Horror,58
237,297,1853,129.0,Mobile,2025-01-02 08:42:52.422694,5.0,65,Germany,Sci-Fi,TV Show,Horror,58
238,360,1853,66.0,Mobile,2024-07-23 08:42:52.422907,5.0,44,Germany,Documentary,TV Show,Horror,58
239,146,1644,159.0,Laptop,2025-02-24 08:42:52.421792,1.0,22,Canada,Action,TV Show,Sci-Fi,68
240,286,1644,106.0,Tablet,2024-12-05 08:42:52.385055,3.0,47,Germany,Sci-Fi,TV Show,Sci-Fi,68
241,53,1644,39.0,Laptop,2025-02-15 08:42:52.417251,3.0,26,Canada,Horror,TV Show,Sci-Fi,68
242,384,1644,124.0,TV,2025-01-15 08:42:52.387211,3.0,41,USA,Horror,TV Show,Sci-Fi,68
243,232,1644,17.0,Laptop,2024-11-04 08:42:52.389223,4.0,40,Germany,Comedy,TV Show,Sci-Fi,68
244,146,1174,104.0,Mobile,2025-01-31 08:42:52.422809,,22,Canada,Action,Movie,Action,170
245,275,1174,21.0,Laptop,2025-01-27 08:42:52.382536,,57,USA,Comedy,Movie,Action,170
